time,ENV.pressure.Pa,ENV.temperature.K,PHOT.jbrcl.s-1,PHOT.jbro.s-1,PHOT.jbrono2_a.s-1,PHOT.jbrono2_b.s-1,PHOT.jccl4.s-1,PHOT.jcf2cl2.s-1,PHOT.jcf2clbr.s-1,PHOT.jcf3br.s-1,PHOT.jcfc113.s-1,PHOT.jcfc114.s-1,PHOT.jcfc115.s-1,PHOT.jcfcl3.s-1,PHOT.jch2br2.s-1,PHOT.jch2o_a.s-1,PHOT.jch2o_b.s-1,PHOT.jchbr3.s-1,PHOT.jch3ccl3.s-1,PHOT.jch3cl.s-1,PHOT.jch3ooh.s-1,PHOT.jch4_a.s-1,PHOT.jch4_b.s-1,PHOT.jcl2.s-1,PHOT.jcl2o2.s-1,PHOT.jclo.s-1,PHOT.jclono2_a.s-1,PHOT.jclono2_b.s-1,PHOT.jco2.s-1,PHOT.jh2402.s-1,PHOT.jh2o_a.s-1,PHOT.jh2o_b.s-1,PHOT.jh2o_c.s-1,PHOT.jhbr.s-1,PHOT.jhcfc141b.s-1,PHOT.jhcfc142b.s-1,PHOT.jhcfc22.s-1,PHOT.jhcl.s-1,PHOT.jhno3.s-1,PHOT.jho2no2_a.s-1,PHOT.jho2no2_b.s-1,PHOT.jhobr.s-1,PHOT.jhocl.s-1,PHOT.jn2o.s-1,PHOT.jn2o5_a.s-1,PHOT.jn2o5_b.s-1,PHOT.jno.s-1,PHOT.jno3_a.s-1,PHOT.jno3_b.s-1,PHOT.jo2_a.s-1,PHOT.jo2_b.s-1,PHOT.jo3_a.s-1,PHOT.jo3_b.s-1,PHOT.joclo.s-1,PHOT.jno2.s-1,PHOT.jch3br.s-1,PHOT.jh2o2.s-1,,
0,5201.590993,213.8966,0.01468071,0.05454209,0.000523348,0.0012813,1.57E-09,1.00E-10,8.41E-09,3.77E-10,1.43E-10,9.71E-12,7.55E-13,1.00E-09,6.26E-09,4.09E-05,9.29E-05,1.42E-06,1.45E-09,2.31E-11,7.18E-06,0.00E+00,0.00E+00,0.003368471,0.002542063,0.000187762,4.41E-05,7.80E-06,1.53E-16,5.98E-09,1.23E-15,0.00E+00,0.00E+00,2.64E-09,2.26E-10,1.61E-12,4.33E-13,3.96E-11,4.92E-07,1.57E-06,1.61E-05,0.003125236,0.000391901,5.14E-11,2.17E-05,1.66E-08,6.81E-16,0.2328214,0.01023766,0.00E+00,1.96E-14,2.24E-05,0.000527841,0.09769607,0.0128083,1.89E-09,7.56E-06,,
1800,5201.590993,213.8227,0.01384721,0.0489771,0.000479821,0.001174735,3.72E-10,1.64E-11,4.05E-09,9.41E-11,2.76E-11,1.73E-12,1.52E-13,2.13E-10,1.53E-09,3.30E-05,8.33E-05,1.07E-06,3.15E-10,4.25E-12,6.10E-06,0,0,0.003066096,0.002261355,0.000120694,3.95E-05,6.33E-06,3.97E-18,2.68E-09,1.88E-17,0,0,6.08E-10,4.25E-11,2.65E-13,8.06E-14,7.88E-12,3.45E-07,1.24E-06,1.48E-05,0.0028928,0.000348422,9.95E-12,1.76E-05,4.46E-09,1.05E-18,0.2200956,0.009667525,0,4.71E-15,1.23E-05,0.000489905,0.09087052,0.01192875,4.56E-10,6.29E-06,,
3600,5201.590993,213.7641,0.01214402,0.03944296,0.000402849,0.000986285,1.94E-10,7.38E-12,1.98E-09,4.98E-11,1.33E-11,8.08E-13,7.43E-14,1.06E-10,7.92E-10,2.22E-05,6.67E-05,6.70E-07,1.59E-10,2.01E-12,4.54E-06,0,0,0.002529918,0.001810935,5.51E-05,3.21E-05,4.43E-06,2.06E-21,1.36E-09,3.06E-21,0,0,3.13E-10,2.03E-11,1.20E-13,3.84E-14,3.85E-12,1.98E-07,8.30E-07,1.31E-05,0.002463843,0.000277739,4.81E-12,1.24E-05,2.40E-09,8.30E-25,0.1924424,0.008419557,0,2.47E-15,5.10E-06,0.00041794,0.07780408,0.01023765,2.39E-10,4.53E-06,,
5400,5201.590993,213.7149,0.009964081,0.02630257,0.000302685,0.000741057,8.75E-11,3.32E-12,5.11E-10,2.25E-11,6.00E-12,3.64E-13,3.35E-14,4.78E-11,3.58E-10,9.66E-06,4.37E-05,2.71E-07,7.17E-11,9.04E-13,2.64E-06,0,0,0.001794531,0.001230416,8.08E-06,2.27E-05,2.30E-06,4.53E-32,3.83E-10,1.31E-33,0,0,1.42E-10,9.13E-12,5.38E-14,1.73E-14,1.73E-12,6.92E-08,3.98E-07,1.14E-05,0.001903034,0.000185443,2.16E-12,6.43E-06,1.08E-09,0.00E+00,0.159696,0.007001889,0,1.12E-15,1.22E-06,0.000338479,0.05997832,0.007927271,1.08E-10,2.46E-06,,
7200,5201.590993,213.6766,0.000834889,0.000492186,1.70E-05,4.17E-05,9.67E-12,3.86E-13,2.84E-11,2.46E-12,6.89E-13,4.19E-14,3.81E-15,5.43E-12,3.89E-11,1.10E-07,7.51E-07,3.71E-09,8.08E-12,1.04E-13,4.31E-08,0,0,5.55E-05,4.06E-05,1.74E-07,7.07E-07,3.49E-08,0.00E+00,2.22E-11,0.00E+00,0,0,1.57E-11,1.05E-12,6.19E-15,1.97E-15,1.98E-13,9.82E-10,5.58E-09,9.84E-06,0.00013207,4.59E-06,2.47E-13,1.06E-07,1.20E-10,0.00E+00,0.04297667,0.002690854,0,1.22E-16,2.51E-08,0.000115268,0.002351124,0.000275432,1.18E-11,3.66E-08,,
9000,5201.590993,213.6395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
10800,5201.590993,213.6234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
12600,5201.590993,213.6262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
14400,5201.590993,213.6471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
16200,5201.590993,213.6944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
18000,5201.590993,213.7677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
19800,5201.590993,213.8625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
21600,5201.590993,213.9695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
23400,5201.590993,214.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
25200,5201.590993,214.1841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
27000,5201.590993,214.2837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
28800,5201.590993,214.378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
30600,5201.590993,214.4666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
32400,5201.590993,214.5387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
34200,5201.590993,214.5899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
36000,5201.590993,214.6252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
37800,5201.590993,214.6465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
39600,5201.590993,214.6565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
41400,5201.590993,214.6612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
43200,5201.590993,214.6603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
45000,5201.590993,214.6561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
46800,5201.590993,214.6519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
48600,5201.590993,214.6526,1.18E-05,3.19E-05,3.53E-07,8.63E-07,5.64E-13,2.04E-14,1.89E-12,1.48E-13,3.72E-14,2.25E-15,2.09E-16,2.99E-13,2.40E-12,9.51E-09,5.29E-08,3.06E-10,4.51E-13,5.58E-15,3.07E-09,0,0,2.16E-06,1.46E-06,1.65E-08,2.73E-08,2.64E-09,0,1.44E-12,0,0,0,9.10E-13,5.67E-14,3.34E-16,1.09E-16,1.07E-14,8.39E-11,4.43E-10,9.82E-06,2.26E-06,2.20E-07,1.35E-14,7.39E-09,6.97E-12,0,0.000790165,0.000114071,0,7.31E-18,2.23E-09,4.50E-06,7.20E-05,9.65E-06,7.07E-13,2.79E-09,,
50400,5201.590993,214.6623,0.007967862,0.01786728,0.000228984,0.000560616,5.79E-11,2.20E-12,2.40E-10,1.49E-11,3.97E-12,2.41E-13,2.21E-14,3.16E-11,2.37E-10,4.89E-06,2.91E-05,1.40E-07,4.73E-11,5.99E-13,1.67E-06,0,0,0.00128446,0.000867156,2.22E-06,1.65E-05,1.38E-06,0.00E+00,1.85E-10,0.00E+00,0,0,9.36E-11,6.05E-12,3.58E-14,1.15E-14,1.14E-12,3.40E-08,2.26E-07,1.07E-05,0.00146098,0.000128788,1.43E-12,3.93E-06,7.17E-10,0.00E+00,0.1269297,0.005568406,0,7.39E-16,5.94E-07,0.000268411,0.04561577,0.00604267,7.16E-11,1.49E-06,,
52200,5201.590993,214.6767,0.01147579,0.03573627,0.000373399,0.000914183,1.57E-10,5.95E-12,1.40E-09,4.03E-11,1.08E-11,6.54E-13,6.00E-14,8.58E-11,6.41E-10,1.83E-05,6.03E-05,5.35E-07,1.28E-10,1.62E-12,3.97E-06,0,0,0.002320619,0.001640272,3.53E-05,2.94E-05,3.76E-06,2.09E-23,9.85E-10,1.54E-23,0,0,2.54E-10,1.64E-11,9.71E-14,3.11E-14,3.10E-12,1.52E-07,6.91E-07,1.26E-05,0.002297057,0.000250828,3.89E-12,1.07E-05,1.94E-09,1.35E-28,0.181897,0.007999183,0,2.00E-15,3.27E-06,0.000391033,0.07264589,0.009569256,1.94E-10,3.90E-06,,
54000,5201.590993,214.704,0.01324203,0.04591572,0.000454269,0.001112176,3.10E-10,1.23E-11,3.36E-09,7.90E-11,2.18E-11,1.34E-12,1.21E-13,1.72E-10,1.27E-09,2.96E-05,7.80E-05,9.43E-07,2.56E-10,3.31E-12,5.61E-06,0,0,0.002890881,0.00211485,9.91E-05,3.72E-05,5.74E-06,6.77E-19,2.24E-09,2.49E-18,0,0,5.02E-10,3.33E-11,2.01E-13,6.31E-14,6.26E-12,2.99E-07,1.11E-06,1.42E-05,0.002746627,0.00032558,7.88E-12,1.62E-05,3.80E-09,4.32E-20,0.2098862,0.009262313,0,3.93E-15,9.82E-06,0.000463752,0.08644597,0.01135508,3.81E-10,5.74E-06,,
55800,5201.590993,214.7628,0.0144155,0.05279614,0.000510047,0.001248736,1.17E-09,6.43E-11,7.08E-09,2.87E-10,9.80E-11,6.44E-12,5.24E-13,7.13E-10,4.74E-09,3.85E-05,8.99E-05,1.32E-06,1.04E-09,1.55E-11,6.85E-06,0.00E+00,0.00E+00,0.003273188,0.002455101,0.000168111,4.28E-05,7.38E-06,6.23E-17,4.93E-09,4.44E-16,0.00E+00,0.00E+00,1.94E-09,1.53E-10,1.04E-12,2.92E-13,2.74E-11,4.51E-07,1.47E-06,1.57E-05,0.003051884,0.000378415,3.53E-11,2.08E-05,1.32E-08,1.42E-16,0.2290388,0.01013625,0.00E+00,1.47E-14,1.95E-05,0.000516361,0.09551828,0.01252723,1.42E-09,7.19E-06,,
57600,5201.590993,214.8265,0.01545056,0.05845777,0.00055781,0.001365673,4.64E-09,3.13E-10,1.66E-08,1.12E-09,4.34E-10,2.99E-11,2.27E-12,2.98E-09,1.87E-08,4.62E-05,9.97E-05,1.68E-06,4.28E-09,7.08E-11,7.93E-06,0.00E+00,0.00E+00,0.003590771,0.002744334,0.000234859,4.76E-05,8.84E-06,7.61E-16,1.27E-08,7.70E-15,0.00E+00,0.00E+00,7.83E-09,6.89E-10,5.05E-12,1.33E-12,1.19E-10,6.12E-07,1.80E-06,1.70E-05,0.003314553,0.000422803,1.56E-10,2.48E-05,4.74E-08,1.07E-14,0.2470258,0.01096794,0.00E+00,5.85E-14,3.03E-05,0.000565097,0.1031974,0.0135201,5.62E-09,8.45E-06,,
59400,5201.590993,214.8887,0.01619569,0.06247621,0.000592596,0.001450838,1.32E-08,9.61E-10,3.74E-08,3.16E-09,1.29E-09,9.04E-11,6.72E-12,8.66E-09,5.34E-08,5.21E-05,0.000106725,2.03E-06,1.24E-08,2.13E-10,8.75E-06,0.00E+00,0.00E+00,0.003816008,0.002959245,0.000294901,5.12E-05,1.00E-05,3.66E-15,3.05E-08,4.58E-14,0.00E+00,0.00E+00,2.25E-08,2.06E-09,1.55E-11,4.01E-12,3.52E-10,7.90E-07,2.09E-06,1.81E-05,0.003504585,0.000455269,4.61E-10,2.81E-05,1.30E-07,1.50E-13,0.2604795,0.01159487,0.00E+00,1.68E-13,4.16E-05,0.000602006,0.1086304,0.01422243,1.60E-08,9.45E-06,,
61200,5201.590993,214.95,0.01701324,0.06643408,0.000628291,0.00153823,2.56E-08,2.00E-09,6.63E-08,6.09E-09,2.61E-09,1.86E-10,1.35E-11,1.71E-08,1.04E-07,5.77E-05,0.000113571,2.40E-06,2.44E-08,4.35E-10,9.55E-06,0.00E+00,0.00E+00,0.00404246,0.00317106,0.000351395,5.49E-05,1.12E-05,1.05E-14,5.59E-08,1.52E-13,0.00E+00,0.00E+00,4.38E-08,4.18E-09,3.23E-11,8.19E-12,7.08E-10,9.87E-07,2.37E-06,1.93E-05,0.003703114,0.00048715,9.28E-10,3.11E-05,2.41E-07,8.42E-13,0.2759271,0.01231931,0.00E+00,3.27E-13,5.26E-05,0.000642583,0.1143224,0.0149597,3.11E-08,1.04E-05,,
63000,5201.590993,215.0059,0.01741619,0.06864115,0.00064781,0.001586017,4.53E-08,3.49E-09,1.13E-07,1.09E-08,4.54E-09,3.24E-10,2.36E-11,2.99E-08,1.87E-07,6.13E-05,0.000117423,2.75E-06,4.26E-08,7.58E-10,1.01E-05,0.00E+00,0.00E+00,0.004165296,0.003296178,0.000394359,5.71E-05,1.20E-05,2.18E-14,9.60E-08,3.48E-13,0.00E+00,0.00E+00,7.74E-08,7.29E-09,5.63E-11,1.43E-11,1.23E-09,1.19E-06,2.58E-06,2.01E-05,0.003808245,0.000505649,1.61E-09,3.32E-05,4.28E-07,2.73E-12,0.2835394,0.01267788,0.00E+00,5.84E-13,6.20E-05,0.000663982,0.1172386,0.01533621,5.53E-08,1.10E-05,,
64800,5201.590993,215.0455,0.01784979,0.07079397,0.00066747,0.00163415,6.54E-08,5.08E-09,1.60E-07,1.58E-08,6.57E-09,4.70E-10,3.41E-11,4.31E-08,2.72E-07,6.46E-05,0.000121165,3.10E-06,6.15E-08,1.10E-09,1.05E-05,0.00E+00,0.00E+00,0.004287422,0.003417275,0.00043359,5.92E-05,1.27E-05,3.65E-14,1.37E-07,6.25E-13,0.00E+00,0.00E+00,1.12E-07,1.06E-08,8.19E-11,2.08E-11,1.79E-09,1.40E-06,2.79E-06,2.09E-05,0.003916065,0.00052355,2.33E-09,3.51E-05,6.14E-07,6.13E-12,0.2919804,0.01307665,0.00E+00,8.47E-13,7.07E-05,0.000686711,0.1202542,0.01572633,8.01E-08,1.16E-05,,
66600,5201.590993,215.0684,0.01798542,0.07169706,0.00067525,0.001653198,8.54E-08,6.59E-09,2.07E-07,2.07E-08,8.52E-09,6.09E-10,4.43E-11,5.58E-08,3.59E-07,6.64E-05,0.000122761,3.37E-06,7.98E-08,1.43E-09,1.08E-05,0.00E+00,0.00E+00,0.004335751,0.003472413,0.00045762,6.02E-05,1.32E-05,5.19E-14,1.78E-07,9.33E-13,0.00E+00,0.00E+00,1.46E-07,1.37E-08,1.06E-10,2.71E-11,2.31E-09,1.56E-06,2.92E-06,2.14E-05,0.003956011,0.000531516,3.02E-09,3.62E-05,8.02E-07,1.06E-11,0.2946075,0.01320228,0.00E+00,1.11E-12,7.65E-05,0.00069496,0.1213017,0.01586067,1.05E-07,1.19E-05,,
68400,5201.590993,215.0745,0.0182734,0.07297515,0.000687498,0.001683184,1.03E-07,7.83E-09,2.50E-07,2.51E-08,1.01E-08,7.25E-10,5.29E-11,6.67E-08,4.36E-07,6.83E-05,0.000124975,3.62E-06,9.54E-08,1.70E-09,1.10E-05,0.00E+00,0.00E+00,0.004409898,0.003545027,0.000480897,6.15E-05,1.36E-05,6.50E-14,2.14E-07,1.20E-12,0.00E+00,0.00E+00,1.75E-07,1.63E-08,1.26E-10,3.23E-11,2.76E-09,1.71E-06,3.05E-06,2.19E-05,0.004024318,0.000542161,3.60E-09,3.73E-05,9.72E-07,1.50E-11,0.3004657,0.0134805,0.00E+00,1.35E-12,8.20E-05,0.000710143,0.1232134,0.01610844,1.27E-07,1.23E-05,,
70200,5201.590993,215.0588,0.01838198,0.07340483,0.000691786,0.001693684,1.10E-07,8.45E-09,2.66E-07,2.68E-08,1.09E-08,7.81E-10,5.68E-11,7.15E-08,4.66E-07,6.89E-05,0.000125715,3.71E-06,1.02E-07,1.83E-09,1.11E-05,0.00E+00,0.00E+00,0.004435512,0.003569033,0.000487775,6.20E-05,1.37E-05,7.30E-14,2.28E-07,1.37E-12,0.00E+00,0.00E+00,1.87E-07,1.75E-08,1.36E-10,3.48E-11,2.97E-09,1.76E-06,3.09E-06,2.20E-05,0.004048783,0.000545684,3.86E-09,3.76E-05,1.03E-06,1.79E-11,0.3027143,0.01358724,0.00E+00,1.44E-12,8.36E-05,0.000715734,0.1239072,0.0161986,1.35E-07,1.24E-05,,
72000,5201.590993,215.0276,0.01821706,0.07295398,0.000686663,0.001681141,1.11E-07,8.54E-09,2.69E-07,2.71E-08,1.10E-08,7.90E-10,5.74E-11,7.22E-08,4.71E-07,6.86E-05,0.000124964,3.71E-06,1.03E-07,1.85E-09,1.11E-05,0.00E+00,0.00E+00,0.004405539,0.003547175,0.00048689,6.16E-05,1.37E-05,7.41E-14,2.30E-07,1.40E-12,0.00E+00,0.00E+00,1.89E-07,1.77E-08,1.38E-10,3.51E-11,3.00E-09,1.77E-06,3.08E-06,2.20E-05,0.004016963,0.00054236,3.90E-09,3.75E-05,1.04E-06,1.83E-11,0.2992654,0.01342464,0.00E+00,1.45E-12,8.36E-05,0.000708153,0.1229476,0.01607282,1.37E-07,1.23E-05,,
73800,5201.590993,214.9858,0.01824118,0.07291984,0.000686711,0.001681258,1.05E-07,8.06E-09,2.55E-07,2.57E-08,1.04E-08,7.46E-10,5.43E-11,6.84E-08,4.46E-07,6.83E-05,0.000124889,3.64E-06,9.78E-08,1.75E-09,1.10E-05,0.00E+00,0.00E+00,0.004405508,0.003542969,0.000482071,6.15E-05,1.36E-05,6.81E-14,2.18E-07,1.27E-12,0.00E+00,0.00E+00,1.79E-07,1.67E-08,1.30E-10,3.32E-11,2.84E-09,1.72E-06,3.05E-06,2.19E-05,0.004018939,0.000541823,3.69E-09,3.73E-05,9.92E-07,1.61E-11,0.2997751,0.01344808,0.00E+00,1.38E-12,8.23E-05,0.00070877,0.1230424,0.01608584,1.30E-07,1.23E-05,,
75600,5201.590993,214.9335,0.01800014,0.07189222,0.000676723,0.001656804,9.12E-08,7.01E-09,2.21E-07,2.22E-08,9.07E-09,6.48E-10,4.72E-11,5.95E-08,3.84E-07,6.68E-05,0.000123113,3.44E-06,8.50E-08,1.52E-09,1.08E-05,0.00E+00,0.00E+00,0.004345344,0.003484875,0.000464088,6.04E-05,1.33E-05,5.63E-14,1.90E-07,1.02E-12,0.00E+00,0.00E+00,1.56E-07,1.46E-08,1.13E-10,2.88E-11,2.47E-09,1.61E-06,2.95E-06,2.15E-05,0.003962803,0.000533302,3.21E-09,3.64E-05,8.58E-07,1.20E-11,0.294834,0.01321344,0.00E+00,1.19E-12,7.81E-05,0.000696151,0.1214648,0.01588118,1.12E-07,1.20E-05,,
77400,5201.590993,214.8707,0.01750149,0.06997307,0.000657472,0.001609673,7.16E-08,5.56E-09,1.74E-07,1.73E-08,7.18E-09,5.14E-10,3.73E-11,4.71E-08,2.99E-07,6.43E-05,0.000119818,3.15E-06,6.72E-08,1.20E-09,1.05E-05,0.00E+00,0.00E+00,0.004230055,0.003379483,0.000436424,5.85E-05,1.27E-05,4.12E-14,1.49E-07,7.18E-13,0.00E+00,0.00E+00,1.22E-07,1.15E-08,8.96E-11,2.28E-11,1.95E-09,1.44E-06,2.79E-06,2.09E-05,0.003852098,0.000517738,2.55E-09,3.50E-05,6.72E-07,7.40E-12,0.2845513,0.01272586,0.00E+00,9.30E-13,7.18E-05,0.000670901,0.1182994,0.01546953,8.78E-08,1.16E-05,,
79200,5201.590993,214.8018,0.01684041,0.06737941,0.000631771,0.00154675,5.15E-08,3.98E-09,1.27E-07,1.24E-08,5.17E-09,3.69E-10,2.68E-11,3.40E-08,2.13E-07,6.10E-05,0.000115366,2.81E-06,4.84E-08,8.64E-10,9.95E-06,0.00E+00,0.00E+00,0.004074886,0.003238321,0.000400396,5.60E-05,1.19E-05,2.60E-14,1.08E-07,4.25E-13,0.00E+00,0.00E+00,8.79E-08,8.29E-09,6.41E-11,1.63E-11,1.40E-09,1.24E-06,2.59E-06,2.01E-05,0.003704503,0.000496796,1.84E-09,3.30E-05,4.85E-07,3.60E-12,0.2710404,0.01208579,0.00E+00,6.64E-13,6.39E-05,0.000637613,0.1140691,0.01491955,6.29E-08,1.10E-05,,
81000,5201.590993,214.7328,0.01635488,0.06499202,0.000609918,0.001493248,3.17E-08,2.45E-09,8.07E-08,7.60E-09,3.19E-09,2.27E-10,1.66E-11,2.11E-08,1.30E-07,5.73E-05,0.000111219,2.46E-06,3.00E-08,5.33E-10,9.43E-06,0.00E+00,0.00E+00,0.003939219,0.003104381,0.000357589,5.37E-05,1.11E-05,1.35E-14,6.82E-08,2.02E-13,0.00E+00,0.00E+00,5.42E-08,5.12E-09,3.95E-11,1.00E-11,8.68E-10,1.03E-06,2.38E-06,1.93E-05,0.003584385,0.000476973,1.14E-09,3.09E-05,3.00E-07,1.26E-12,0.2615137,0.01163474,0.00E+00,4.07E-13,5.46E-05,0.000612069,0.1107085,0.01448486,3.86E-08,1.03E-05,,
82800,5201.590993,214.662,0.0156066,0.06156445,0.000578175,0.001415532,1.62E-08,1.23E-09,4.41E-08,3.85E-09,1.63E-09,1.15E-10,8.44E-12,1.08E-08,6.51E-08,5.25E-05,0.000105298,2.10E-06,1.54E-08,2.70E-10,8.74E-06,0.00E+00,0.00E+00,0.0037411,0.002918926,0.000307294,5.04E-05,1.01E-05,5.30E-15,3.65E-08,6.97E-14,0.00E+00,0.00E+00,2.77E-08,2.60E-09,1.99E-11,5.08E-12,4.43E-10,8.33E-07,2.12E-06,1.83E-05,0.003406546,0.00044922,5.80E-10,2.83E-05,1.55E-07,2.76E-13,0.2468806,0.01094391,0.00E+00,2.05E-13,4.44E-05,0.000574244,0.1056332,0.01382712,1.96E-08,9.48E-06,,
